date,name,age,notes,country
2020-03-23,Zororo Makamba,30,Journalist,Zimbabwe (Harare)
2020-03-23,Usama Riaz,26,Medical doctor,Pakistan (Gilgit)
2020-03-23,Calogero Rizzuto,65,Architect and historic preservationist,Italy (Syracuse)
2020-03-23,Walter Robb,91,"Engineer, executive, and philanthropist",United States (Schenectady)
2020-03-25,Mark Blum,69,Actor,United States (New York)
2020-03-29,Ken Shimura,70,Comedian,Japan (Tokyo)
2020-03-23,Lucien Sève,93,Philosopher and political activist,France (Paris)
2020-03-23,Nashom Wooden,50,Performance artist,United States (New York)
2020-03-24,Lorenzo Acquarone,89,Lawyer and politician and MP ,Italy (Genoa)
2020-03-24,Manu Dibango,86,"Saxophonist and songwriter, originally from Cameroon",France (Paris)
2020-03-24,Steven Dick,37,British diplomat,Hungary (Budapest)
2020-03-24,Mohamed Farah,59,Somali international footballer,United Kingdom (London)
2020-03-24,Alan Finder,72,Journalist,United States (Ridgewood)
2020-03-24,Terrence McNally,81,Playwright and screenwriter,United States (Sarasota)
2020-03-24,John F. Murray,93,American pulmonologist,France (Paris)
2020-03-24,Jenny Polanco,62,Fashion designer,Dominican Republic (Santo Domingo)
2020-03-25,Harry Aarts,90,"Politician, former member of the House of Representatives",Netherlands (Tilburg)
2020-03-25,Danilo Barozzi,92,Cyclist,Italy (Santa Maria Nuova)
2020-03-25,Floyd Cardoz,59,Chef and television personality,United States (Montclair)
2020-03-25,Martinho Lutero Galati,66,Conductor,Brazil (São Paulo)
2020-03-25,Paul Goma,84,"Political dissident and writer, originally Romanian",France (Paris)
2020-03-25,Detto Mariano,82,Musician and composer,Italy (Milan)
2020-03-25,Angelo Moreschi,67,"Missionary bishop, Apostolic Vicar of Gambella",Italy (Brescia)
2020-03-26,Menggie Cobarrubias,66,Actor,Philippines (Manila)
2020-03-26,Ito Curata,60,Fashion designer,Philippines (Muntinlupa)
2020-03-26,Olle Holmquist,83,Trombonist,Sweden
2020-03-26,María Teresa of Bourbon-Parma,86,"Princess, activist and political sociologist",France (Paris)
2020-03-26,Naomi Munakata,64,Conductor,Brazil (São Paulo)
2020-03-26,Luigi Roni,78,Singer,Italy (Lucca)
2020-03-26,Michael Sorkin,71,"Architect, critic",United States (New York)
2020-03-26,Hamish Wilson,77,Actor,United Kingdom (Rutherglen)
